lastName,firstName,middleName,series,number,birthDate,birthPlace,subdivisionCode,issuedDate,issuingAuthority
Большакова,Ирина,Геннадиевна,49 48,382742,08.01.1993,г. Галич,791-530,31.01.2013,Районный отдел УФМС России по Ульяновской области в г. Ульяновск
Капустин,Исай,Геннадиевич,97 44,681907,29.08.1995,г. Агата,713-967,19.09.2015,Паспортный стол ОВД по Еврейской автономной области в г. Биробиджан
Овчинников,Натан,Еремеевич,76 29,319141,03.08.1966,г. Серпухов,662-836,25.08.2011,Территориальный отдел МВД России по Республике Алтай
Ефимова,Варвара,Натановна,41 67,125608,30.10.1986,г. Туапсе,462-843,23.11.2006,Территориальный отдел МВД России по Республике Бурятия в г. Улан-Удэ
Никонова,Ираида,Леонидовна,47 27,416585,23.05.1983,г. Новая Игирма,843-380,12.07.2003,Территориальный отдел МВД России по Республике Адыгея в г. Майкоп
Зуев,Соломон,Гурьевич,54 32,558088,03.04.1972,г. Бронницы,353-643,03.05.2017,Районный отдел УФМС России по Республике Саха (Якутия)
Максимов,Милан,Ермолаевич,16 41,590671,01.07.1976,г. Корсаков,253-497,20.07.2021,Управление внутренних дел по Камчатскому краю
Осипов,Федор,Федосьевич,80 42,569702,09.07.1989,г. Нефедова,581-445,04.09.2009,Отделение УФМС России по Ямало-Ненецкому автономному округу в г. Надым
Зуева,Лукия,Вадимовна,47 56,947966,16.08.1972,г. Ревда (Сверд.),601-058,29.09.2017,Управление по вопросам миграции МВД России по Удмуртской Республике в г. Воткинск
Кулакова,София,Руслановна,23 44,624784,26.08.1964,г. Верхоянск,992-309,19.09.2009,Главное управление МВД России по Республике Коми
Кононова,Ольга,Руслановна,34 75,821537,08.05.1965,г. Беслан,353-876,12.06.2010,Отделение УФМС России по Республике Северная Осетия — Алания
Игнатьева,Светлана,Степановна,97 61,603252,01.02.1984,г. Оса,453-036,04.03.2004,Отдел полиции УМВД России по Амурской области
Никифорова,Анастасия,Ильинична,03 75,691750,18.12.1980,г. Сортавала,283-379,11.02.2026,Районный отдел УФМС России по Ямало-Ненецкому автономному округу в г. Новый Уренгой
Шаров,Филипп,Георгиевич,07 75,094928,08.10.1964,г. Ишим,521-867,18.11.2009,Отдел УФМС России по Самарской области в г. Тольятти
Никифоров,Ладислав,Филимонович,88 76,819537,12.04.2007,г. Голицыно,072-222,31.05.2021,Межрайонный отдел УФМС России по Рязанской области в г. Рязань
Алексеева,Елена,Павловна,17 41,778809,06.02.2007,г. Каргасок,181-085,08.03.2021,Отдел полиции УМВД России по Ярославской области
Тихонов,Мартын,Феофанович,80 37,677701,30.08.2007,г. Каменск-Уральский,791-955,10.10.2021,Отдел УФМС России по Хабаровскому краю в г. Хабаровск
Красильников,Будимир,Владиленович,37 55,151685,04.10.1987,г. Псебай,033-070,23.11.2007,Управление по вопросам миграции МВД России по Кемеровской области
Лебедева,Василиса,Богдановна,20 66,001053,11.02.1966,г. Егорьевск,891-897,15.03.2011,Межрайонный отдел УФМС России по Карачаево-Черкесской Республике
Кабанова,Иванна,Павловна,81 35,347305,28.02.1979,г. Кисловодск,363-812,11.03.2024,Отдел МВД России по Ивановской области в г. Кинешма
Калашников,Федор,Федосеевич,31 41,762977,13.06.1972,г. Новая Игирма,403-518,27.07.2017,Отделение по вопросам миграции ОМВД России по Ульяновской области в г. Ульяновск
Мухина,Лидия,Аскольдовна,12 45,452268,17.05.2005,г. Карталы,083-355,19.06.2025,Районный отдел УФМС России по Забайкальскому краю в г. Краснокаменск
Воронцов,Поликарп,Ефремович,58 56,126986,30.12.1987,г. Нарым,941-313,12.02.2008,Отдел по вопросам миграции ОМВД России по Владимирской области
Быков,Антонин,Филиппович,01 74,725768,17.11.1971,г. Поярково,942-285,28.12.2016,Отдел по вопросам миграции ОМВД России по Республике Мордовия в г. Рузаевка
Рябова,Нина,Тимофеевна,32 44,285810,10.10.1998,г. Омск,342-236,22.11.2018,Паспортно-визовая служба ОВД по Краснодарскому краю
Колобов,Валерьян,Герасимович,11 58,427255,20.08.1999,г. Руза,153-063,03.10.2019,Отделение УФМС России по Республике Адыгея в г. Майкоп
Шилова,Прасковья,Степановна,04 95,808852,21.11.2007,г. Тарко-Сале,693-222,26.12.2021,Межрайонный отдел УФМС России по Курганской области в г. Курган
Пестов,Варлаам,Алексеевич,94 94,130797,24.11.1987,г. Кулунда,701-652,24.12.2007,Паспортно-визовая служба ОВД по Красноярскому краю в г. Красноярск
Цветкова,Лариса,Сергеевна,02 29,207915,06.07.1981,г. Камышлов,981-333,20.07.2026,Районный отдел УФМС России по Томской области
Горшкова,Марина,Вадимовна,79 54,757054,29.09.1960,г. Шереметьево,343-588,30.10.2005,Отдел по вопросам миграции ОМВД России по Тамбовской области в г. Тамбов
Королева,Анжела,Ильинична,79 96,847181,02.08.1974,г. Кизляр,153-090,26.09.2019,Главное управление МВД России по Амурской области в г. Белогорск
Терентьева,Ираида,Павловна,42 90,186446,07.02.1990,г. Ишим,092-981,05.04.2010,Районный отдел УФМС России по Карачаево-Черкесской Республике
Пестов,Викентий,Артёмович,83 31,784304,03.09.1974,г. Выборг,852-663,19.09.2019,Отдел по вопросам миграции МВД России по Новосибирской области в г. Куйбышев
Емельянова,Елизавета,Игоревна,55 94,166791,01.09.1979,г. Кандалакша,343-489,07.10.2024,Районный отдел УФМС России по Томской области в г. Томск
Блохина,Майя,Леоновна,45 56,575619,04.01.1994,г. Шали,791-965,14.01.2014,Отдел по вопросам миграции ОМВД России по Удмуртской Республике в г. Сарапул
Прохоров,Валентин,Жанович,92 76,271409,10.02.1992,г. Чегем,773-600,23.02.2012,Отдел УФМС России по г. Севастополю
Марков,Егор,Данилович,14 80,443478,01.12.1980,г. Каневская,291-831,20.01.2026,Территориальный отдел МВД России по Тверской области в г. Ржев
Федоров,Мстислав,Иларионович,19 92,101306,10.08.1999,г. Мытищи,883-675,03.10.2019,Отделение УФМС России по Кабардино-Балкарской Республике в г. Нальчик
Дементьева,Маргарита,Дмитриевна,18 77,697311,24.06.1970,г. Терней,712-370,20.07.2015,Отделение УФМС России по Ивановской области
Суханова,Екатерина,Харитоновна,43 80,632962,16.07.2004,г. Борзя,712-508,11.09.2024,Отделение УФМС России по Томской области в г. Томск
Иванова,Вера,Филипповна,81 42,326764,30.09.1999,г. Туапсе,271-737,27.11.2019,Отдел по вопросам миграции МВД России по Ямало-Ненецкому автономному округу в г. Новый Уренгой
Михеев,Эрнст,Ааронович,50 53,018979,08.11.1960,г. Петушки,923-274,20.12.2005,Отдел по вопросам миграции МВД России по Белгородской области в г. Белгород
Большакова,Таисия,Федоровна,12 83,637948,04.08.2002,г. Оленегорск (Якут.),292-768,22.08.2022,Территориальный отдел МВД России по Рязанской области
Власов,Рубен,Иосифович,59 71,212484,30.03.1971,г. Игарка,611-536,25.04.2016,Паспортный стол ОВД по Ставропольскому краю
Одинцова,Зоя,Семеновна,62 83,742053,11.02.1966,г. Пятигорск,511-854,12.03.2011,Управление МВД России по Тульской области в г. Новомосковск
Комарова,Наина,Альбертовна,69 84,096053,12.07.1978,г. Брянск,761-653,31.08.2023,Управление МВД России по Кировской области в г. Вятские Поляны
Носов,Николай,Эдуардович,07 29,857083,02.09.2006,г. Шахты,823-873,22.10.2020,Отдел по вопросам миграции МВД России по Орловской области в г. Мценск
Назарова,Надежда,Филипповна,34 53,233525,04.05.1977,г. Пятигорск,062-679,06.06.2022,Главное управление МВД России по Ярославской области
Жданов,Светозар,Венедиктович,36 77,494590,06.01.1985,г. Арсеньев,643-274,28.01.2005,Отдел УФМС России по Амурской области
Владимиров,Владимир,Егорович,47 34,761621,18.11.1978,г. Югорск,921-506,11.01.2024,Паспортно-визовая служба ОВД по Костромской области
Комаров,Валерий,Иосифович,08 70,595088,05.06.2001,г. Магадан,822-207,23.07.2021,Управление внутренних дел по Калужской области в г. Обнинск
Ковалев,Богдан,Филиппович,46 52,809448,13.09.1983,г. Зарайск,413-449,02.11.2003,Отдел УФМС России по Воронежской области в г. Лиски
Панов,Лаврентий,Георгиевич,69 36,165961,26.07.1996,г. Видное,231-458,15.09.2016,Управление по вопросам миграции МВД России по Костромской области
Гусева,Валентина,Наумовна,37 54,935690,27.11.1982,г. Верхний Тагил,023-639,17.12.2002,Отдел по вопросам миграции МВД России по Республике Башкортостан
Афанасьева,Иванна,Алексеевна,62 30,286491,17.09.2001,г. Охотск,841-441,05.11.2021,Отдел по вопросам миграции ОМВД России по Сахалинской области
Самойлова,Зинаида,Оскаровна,63 48,071311,23.04.2007,г. Ряжск,981-202,15.05.2021,Отдел МВД России по Чеченской Республике
Турова,Синклитикия,Владимировна,55 71,156471,21.07.1972,г. Змеиногорск,573-541,08.09.2017,Управление МВД России по Тверской области в г. Ржев
Шарова,Дарья,Ильинична,04 30,303960,01.10.1991,г. Дно,292-851,11.11.2011,Отделение по вопросам миграции ОМВД России по Республике Тыва
Кулакова,Елизавета,Наумовна,19 75,486803,01.07.1992,г. Усть-Калманка,991-508,06.08.2012,Главное управление МВД России по Карачаево-Черкесской Республике
Михеева,Валерия,Егоровна,65 30,312930,09.09.1979,г. Хоста,401-799,30.09.2024,Межрайонный отдел УФМС России по Вологодской области в г. Вологда
Шарапова,Зинаида,Константиновна,07 29,502437,23.06.2004,г. Ростов,941-096,13.07.2024,Отдел УФМС России по Волгоградской области
Фролов,Аверкий,Давыдович,54 65,658251,03.08.1984,г. Кулунда,183-303,20.08.2004,Отдел МВД России по г. Тула по Ленинскому району
Кириллов,Радим,Аверьянович,77 50,135217,07.04.1999,г. Мостовской,823-951,01.05.2019,Отдел полиции УМВД России по Магаданской области
Михеева,Фёкла,Даниловна,59 32,430589,07.01.1966,г. Троицк (Моск.),992-087,15.02.2011,Отдел УФМС России по г. Москве в районе Новогиреево
Силина,Вероника,Филипповна,87 46,561768,27.05.1982,г. Луховицы,661-666,20.07.2002,Управление по вопросам миграции МВД России по Республике Алтай
Афанасьева,Надежда,Анатольевна,54 80,992043,09.07.1978,г. Волгодонск,851-163,17.08.2023,Территориальный отдел МВД России по Архангельской области в г. Северодвинск
Антонова,Зинаида,Георгиевна,98 80,760538,16.11.1988,г. Валдай,771-913,07.12.2008,Отделение УФМС России по Республике Мордовия в г. Рузаевка
Шашкова,Ульяна,Альбертовна,65 79,792953,17.03.1998,г. Верхотурье,811-695,05.05.2018,Районный отдел УФМС России по Пермскому краю в г. Березники
Дроздов,Лев,Адрианович,07 36,989127,04.01.1975,г. Железногорск(Курск.),653-049,28.02.2020,Отдел полиции УМВД России по Московской области
Титов,Никандр,Дмитриевич,06 89,148583,10.06.1979,г. Черемхово,432-638,08.08.2024,Отдел УФМС России по Удмуртской Республике
Носков,Геннадий,Евсеевич,68 83,443298,07.05.1962,г. Калязин,843-407,26.06.2007,Главное управление МВД России по Архангельской области в г. Северодвинск
Кондратьева,Полина,Робертовна,92 86,011286,02.06.1988,г. Галич,132-482,25.06.2008,Отдел полиции УМВД России по Республике Коми в г. Воркута
Фадеев,Аристарх,Харлампьевич,59 35,869916,04.04.2001,г. Темрюк,071-610,15.04.2021,Отделение УФМС России по Омской области в г. Омск
Корнилова,Зоя,Захаровна,25 33,546529,08.07.1970,г. Домбай,682-134,07.08.2015,Управление внутренних дел по г. Севастополю
Меркушева,Василиса,Ждановна,01 45,340021,25.06.1980,г. Астрахань,442-582,12.08.2025,Отделение по вопросам миграции ОМВД России по Республике Татарстан в г. Казань
Юдина,Ксения,Эдуардовна,10 79,054394,17.12.1987,г. Белокуриха,571-689,13.01.2008,Отдел УФМС России по Ханты-Мансийскому автономному округу — Югре в г. Нижневартовск
Мухин,Остромир,Глебович,43 68,794996,09.07.1988,г. Фатеж,732-679,08.08.2008,Отдел по вопросам миграции МВД России по Республике Хакасия
Носова,Лукия,Тимуровна,89 91,988536,18.06.1997,г. Новомосковск,071-898,15.08.2017,Отдел МВД России по Ленинградской области
Лаврентьев,Аникей,Жоресович,66 42,950299,18.12.2005,г. Лянтор,661-074,15.02.2026,Отделение УФМС России по Смоленской области
Костин,Фрол,Венедиктович,14 39,065729,24.01.1988,г. Иркутск,472-355,19.03.2008,Управление МВД России по Свердловской области в г. Екатеринбург
Игнатьев,Ипполит,Авдеевич,84 40,517517,01.11.1998,г. Волгоград,892-994,02.12.2018,Управление внутренних дел по Республике Бурятия в г. Северобайкальск
Харитонова,Эмилия,Эльдаровна,23 42,167444,27.06.1962,г. Ростов-на-Дону,153-471,11.07.2007,Территориальный отдел МВД России по Удмуртской Республике
Меркушева,Эмилия,Анатольевна,84 55,355430,10.03.1987,г. Юрюзань,301-461,17.04.2007,Главное управление МВД России по Кировской области в г. Кирово-Чепецк
Копылов,Фома,Адрианович,14 41,152709,13.05.1986,г. Ессентуки,752-040,10.06.2006,Отделение по вопросам миграции ОМВД России по Калининградской области
Воронцова,Пелагея,Валентиновна,44 31,375906,23.08.1978,г. Гремячинск (Перм.),233-726,04.10.2023,Паспортно-визовая служба ОВД по Еврейской автономной области
Волков,Вадим,Тарасович,87 96,847052,25.03.1998,г. Новгород Великий,233-056,27.04.2018,Отделение по вопросам миграции ОМВД России по Кабардино-Балкарской Республике в г. Нальчик
Орехова,Анастасия,Егоровна,95 95,962909,24.08.1975,г. Учалы,651-069,24.09.2020,Отдел МВД России по Хабаровскому краю в г. Хабаровск
Макаров,Юрий,Филиппович,19 67,161631,24.03.1968,г. Углич,693-746,14.05.2013,Управление МВД России по Красноярскому краю в г. Ачинск
Ильин,Ерофей,Демидович,55 88,206696,25.09.1961,г. Красноуфимск,583-295,21.10.2006,Управление по вопросам миграции МВД России по Республике Тыва в г. Кызыл
Тимофеева,Евгения,Вадимовна,39 35,515602,12.09.1974,г. Якутск,443-827,26.10.2019,Паспортно-визовая служба ОВД по Пермскому краю в г. Березники
Беспалов,Ладимир,Артурович,42 30,249496,12.09.1979,г. Магнитогорск,112-045,28.10.2024,Паспортно-визовая служба ОВД по Ярославской области в г. Рыбинск
Быкова,Лариса,Александровна,50 74,440916,02.07.1960,г. Лодейное Поле,473-414,27.07.2005,Главное управление МВД России по Республике Хакасия
Потапов,Назар,Феликсович,54 37,136610,07.02.1962,г. Забайкальск,181-085,04.03.2007,Территориальный отдел МВД России по г. Санкт-Петербургу
Мясников,Рюрик,Эдгардович,38 29,006160,18.07.1960,г. Ангарск,472-787,14.09.2005,Отдел по вопросам миграции МВД России по Тульской области
Макарова,Агафья,Кирилловна,47 31,642566,28.01.1983,г. Соболево,221-598,28.02.2003,Отдел МВД России по Калининградской области в г. Черняховск
Ковалев,Юлиан,Феофанович,66 50,250510,23.08.1964,г. Россошь,592-256,15.10.2009,Паспортный стол ОВД по Ивановской области в г. Шуя
Лобанова,Варвара,Александровна,13 59,298240,14.06.2002,г. Ершов,051-178,25.07.2022,Отдел по вопросам миграции ОМВД России по Самарской области
Давыдова,Тамара,Александровна,07 55,128408,09.06.1964,г. Калуга,582-166,29.06.2009,Отделение УФМС России по Тульской области в г. Тула
Голубев,Эраст,Аксёнович,21 49,190913,08.01.1994,г. Тимашевск,912-251,23.01.2014,Отделение по вопросам миграции ОМВД России по Рязанской области
Нестерова,Екатерина,Рудольфовна,85 75,124751,27.03.1997,г. Алдан,491-735,12.05.2017,Районный отдел УФМС России по Приморскому краю
Григорьева,Ирина,Леонидовна,76 69,748469,29.07.1966,г. Серпухов,711-336,25.09.2011,Межрайонный отдел УФМС России по Ивановской области в г. Шуя
Соболева,Маргарита,Андреевна,43 48,615747,23.06.1996,г. Аршан (Бурят.),562-513,21.08.2016,Отдел МВД России по Амурской области в г. Свободный
Соловьев,Изот,Андреевич,34 87,237173,16.11.1979,г. Гатчина,323-516,06.01.2025,Отделение УФМС России по Республике Северная Осетия — Алания в г. Владикавказ
Харитонова,Агата,Александровна,54 64,185108,19.12.1987,г. Мирный,342-749,11.02.2008,Отдел МВД России по Липецкой области
Панова,Ия,Михайловна,39 30,187338,11.08.1975,г. Чебаркуль,912-512,17.09.2020,Межрайонный отдел УФМС России по Красноярскому краю в г. Канск
Савельев,Юлий,Елисеевич,88 66,739259,02.05.1978,г. Чехов,621-900,17.05.2023,Паспортный стол ОВД по Калужской области в г. Обнинск
Муравьева,Екатерина,Ниловна,98 56,159822,18.04.1986,г. Яр-Сале,133-017,10.05.2006,Управление МВД России по Пермскому краю в г. Лысьва
Харитонов,Илья,Викентьевич,88 48,709984,26.01.2001,г. Сарапул,542-515,24.03.2021,Главное управление МВД России по Красноярскому краю в г. Ачинск
Архипов,Фома,Адрианович,96 83,192151,05.07.1972,г. Смоленск,601-098,23.08.2017,Отделение УФМС России по Республике Бурятия в г. Северобайкальск
Фомина,Варвара,Петровна,76 85,127819,02.07.1991,г. Буйнакск,023-696,13.07.2011,Отделение УФМС России по Астраханской области в г. Ахтубинск
Титова,Вероника,Филипповна,79 77,378683,14.04.1983,г. Андреаполь,102-922,28.05.2003,Отдел по вопросам миграции ОМВД России по Забайкальскому краю в г. Чита
Артемьев,Зосима,Фёдорович,39 29,381278,19.12.1990,г. Нарым,401-945,12.02.2011,Территориальный отдел МВД России по Самарской области в г. Новокуйбышевск
Зуева,Акулина,Федоровна,37 35,754265,06.05.1967,г. Юровск,271-046,16.06.2012,Отделение УФМС России по Калужской области
Никифоров,Поликарп,Аксёнович,57 95,560396,01.11.1967,г. Урюпинск,042-427,21.12.2012,Отдел по вопросам миграции МВД России по Алтайскому краю
Тихонов,Иосиф,Филатович,75 49,811487,29.05.2003,г. Джейрах,363-993,07.07.2023,Районный отдел УФМС России по Липецкой области в г. Липецк
Исакова,Валентина,Анатольевна,56 73,406377,01.06.1961,г. Сухиничи,682-088,02.07.2006,Управление МВД России по Краснодарскому краю
Антонов,Мариан,Ааронович,54 77,063846,23.04.2005,г. Троицк (Челяб.),292-392,09.06.2025,Управление по вопросам миграции МВД России по Ханты-Мансийскому автономному округу — Югре
Елисеева,Пелагея,Антоновна,40 29,425667,19.04.1991,г. Снежногорск (Мурм.),973-967,09.05.2011,Территориальный отдел МВД России по Ямало-Ненецкому автономному округу в г. Надым
Гришина,Ирина,Даниловна,25 58,435391,11.01.1963,г. Мокшан,653-404,23.02.2008,Отдел МВД России по Псковской области в г. Великие Луки
Карпова,Марфа,Оскаровна,17 88,963256,31.05.1983,г. Соль-Илецк,303-972,08.07.2003,Отдел по вопросам миграции ОМВД России по Чувашской Республике в г. Новочебоксарск
Чернова,Регина,Тимофеевна,10 72,619657,16.10.1984,г. Нефтекамск,793-032,02.11.2004,Паспортный стол ОВД по Оренбургской области
Семенов,Аникита,Ермилович,28 74,814855,05.07.1995,г. Сочи,222-456,18.08.2015,Районный отдел УФМС России по Ростовской области в г. Шахты
Рогова,Анастасия,Максимовна,48 27,806641,04.04.1987,г. Байкальск,413-285,01.05.2007,Главное управление МВД России по Республике Алтай в г. Горно-Алтайск
Кудряшова,Ия,Игоревна,17 81,088122,12.05.1988,г. Камень-на-Оби,831-548,23.05.2008,Управление по вопросам миграции МВД России по Краснодарскому краю в г. Анапа
Авдеева,Эмилия,Архиповна,14 79,646909,27.07.1991,г. Смирных,062-318,05.09.2011,Отдел по вопросам миграции ОМВД России по Калужской области
Селиверстов,Порфирий,Витальевич,58 72,878955,09.10.1989,г. Ноябрьск,953-360,25.11.2009,Районный отдел УФМС России по Самарской области в г. Самара
Елисеева,Светлана,Геннадьевна,65 83,155061,27.01.1999,г. Троицк (Моск.),962-829,22.03.2019,Отделение по вопросам миграции ОМВД России по Республике Северная Осетия — Алания
Никонова,Агафья,Тарасовна,14 31,347954,28.03.1974,г. Шелагонцы,052-618,22.04.2019,Управление внутренних дел по Удмуртской Республике в г. Ижевск
Ермаков,Творимир,Анатольевич,99 95,652969,17.09.1961,г. Котлас,653-284,18.10.2006,Отделение по вопросам миграции ОМВД России по Республике Дагестан
Наумова,Валерия,Альбертовна,09 90,846489,20.06.1972,г. Устюжна,051-076,14.08.2017,Межрайонный отдел УФМС России по Калининградской области
Поляков,Павел,Ефстафьевич,93 41,280423,20.06.1992,г. Оренбург,382-169,01.08.2012,Районный отдел УФМС России по г. Ижевск по Курчатовскому району
Кабанова,Евдокия,Альбертовна,12 94,623547,03.06.1974,г. Ангарск,183-547,25.06.2019,Межрайонный отдел УФМС России по Волгоградской области
Матвеева,Вера,Валентиновна,93 74,634189,07.02.1996,г. Дивногорск,293-318,16.03.2016,Межрайонный отдел УФМС России по Архангельской области в г. Северодвинск
Федотова,Галина,Вадимовна,32 92,494141,26.11.1988,г. Зарайск,512-310,25.12.2008,Отдел по вопросам миграции МВД России по Белгородской области в г. Губкин
Козлов,Арефий,Богданович,66 40,797621,22.08.1983,г. Невьянск,351-952,15.10.2003,Управление МВД России по Воронежской области
Фомичева,Алина,Георгиевна,99 63,482737,05.03.2005,г. Энгельс,503-615,29.04.2025,Главное управление МВД России по Камчатскому краю в г. Елизово
Кошелева,Евпраксия,Геннадиевна,03 39,358769,23.06.1979,г. Сальск,633-746,18.08.2024,Отделение УФМС России по Республике Северная Осетия — Алания в г. Моздок
Зиновьев,Лев,Ярославович,83 37,022888,14.05.1997,г. Сковородино,661-428,30.05.2017,Паспортный стол ОВД по Самарской области в г. Самара
Вишняков,Вадим,Жанович,70 61,933004,19.09.2002,г. Забайкальск,633-458,05.11.2022,Районный отдел УФМС России по Новгородской области в г. Великий Новгород
Виноградова,Прасковья,Никифоровна,46 90,820561,01.04.1989,г. Артем,331-126,02.05.2009,Отдел по вопросам миграции ОМВД России по Курганской области
Исакова,Александра,Наумовна,67 55,662407,22.05.2004,г. Калач-на-Дону,981-649,30.06.2024,Управление по вопросам миграции МВД России по Псковской области в г. Великие Луки
Фомичев,Михаил,Гертрудович,78 76,090827,10.11.1999,г. Краснодар,943-404,14.12.2019,Отделение по вопросам миграции ОМВД России по Нижегородской области
Мельников,Устин,Давидович,78 77,898173,08.01.1970,г. Астрахань,771-747,25.01.2015,Отдел МВД России по Калининградской области в г. Советск
Федотова,Ангелина,Дмитриевна,46 96,553668,23.11.2001,г. Гагарин,892-002,16.12.2021,Паспортно-визовая служба ОВД по Костромской области
Ильин,Вадим,Игнатьевич,69 87,092036,22.05.1967,г. Светлогорск (Калин.),942-932,02.07.2012,Отдел по вопросам миграции ОМВД России по Новгородской области
Степанова,Элеонора,Болеславовна,47 52,475794,27.04.2006,г. Гаврилов-Ям,341-309,17.06.2020,Паспортно-визовая служба ОВД по Республике Тыва
Копылов,Амвросий,Теймуразович,36 38,395076,03.12.1986,г. Мелеуз,373-380,23.12.2006,Паспортно-визовая служба ОВД по Республике Хакасия в г. Абакан
Королев,Святослав,Иосифович,50 87,858348,25.12.1997,г. Ржев,562-162,07.01.2018,Главное управление МВД России по Тульской области в г. Алексин
Щербаков,Ратмир,Арсеньевич,68 85,596754,29.03.1993,г. Моршанск,681-282,10.04.2013,Паспортный стол ОВД по Курганской области в г. Курган
Гаврилов,Станислав,Филатович,43 54,613155,29.05.2004,г. Щелково,931-767,27.06.2024,Паспортный стол ОВД по Ленинградской области в г. Всеволожск
Князева,Алина,Валериевна,85 63,722852,14.12.1989,г. Новгород Великий,763-817,03.02.2010,Отдел полиции УМВД России по Республике Марий Эл
Денисов,Ферапонт,Терентьевич,41 65,233319,15.02.1972,г. Яшкуль,153-442,04.03.2017,Управление МВД России по Пензенской области в г. Заречный
Миронов,Владилен,Геннадиевич,73 30,411894,04.02.1972,г. Шереметьево,711-530,09.03.2017,Главное управление МВД России по Республике Коми
Петухова,Василиса,Аркадьевна,55 39,136305,24.08.1995,г. Аршан (Бурят.),343-100,06.10.2015,Главное управление МВД России по Тамбовской области
Цветков,Павел,Феликсович,63 84,191427,05.11.1998,г. Александровск-Сахалинский,012-459,13.12.2018,Отдел полиции УМВД России по Республике Дагестан в г. Хасавюрт
Афанасьева,Екатерина,Филипповна,45 92,913591,11.07.2000,г. Ершов,621-586,30.07.2020,Главное управление МВД России по Республике Тыва в г. Кызыл
Кабанов,Анатолий,Алексеевич,69 64,010810,18.10.2002,г. Кыштым,523-589,06.12.2022,Паспортно-визовая служба ОВД по Амурской области
Боброва,Надежда,Григорьевна,50 39,816438,30.07.1999,г. Новокузнецк,603-368,09.08.2019,Районный отдел УФМС России по Самарской области в г. Новокуйбышевск
Александров,Сильвестр,Теймуразович,97 54,206661,10.11.1973,г. Качканар,063-095,24.12.2018,Управление по вопросам миграции МВД России по Вологодской области в г. Череповец
Рябова,Ксения,Михайловна,85 44,255728,22.11.1972,г. Баргузин,482-810,10.01.2018,Отдел по вопросам миграции ОМВД России по Нижегородской области в г. Нижний Новгород
Туров,Пахом,Елисеевич,76 71,733624,28.07.2001,г. Тымовское,563-001,08.09.2021,Управление внутренних дел по Алтайскому краю
Абрамов,Анисим,Измаилович,72 93,188536,27.07.1989,г. Калач,701-079,22.08.2009,Межрайонный отдел УФМС России по Краснодарскому краю в г. Армавир
Родионова,Олимпиада,Константиновна,58 93,756412,07.04.1988,г. Данков,151-376,26.04.2008,Межрайонный отдел УФМС России по Костромской области в г. Кострома
Титова,Прасковья,Антоновна,21 76,442983,06.10.1983,г. Губкин,033-401,21.10.2003,Паспортный стол ОВД по Ямало-Ненецкому автономному округу в г. Ноябрьск
Горшков,Сильвестр,Антонович,35 77,468101,25.07.1982,г. Мелеуз,441-134,10.08.2002,Отдел МВД России по Псковской области
Шилов,Гостомысл,Германович,68 96,105363,15.06.1969,г. Тольятти,662-438,15.07.2014,Отдел УФМС России по Архангельской области в г. Котлас
Фролова,Глафира,Ниловна,98 68,275015,21.01.1982,г. Великие Луки,133-684,31.01.2002,Отдел УФМС России по г. Санкт-Петербургу
Абрамова,Наина,Кирилловна,79 67,801228,04.08.1964,г. Пятигорск,652-376,06.09.2009,Паспортный стол ОВД по Московской области в г. Коломна
Медведев,Куприян,Антонович,90 81,195277,16.05.2000,г. Ирбит,243-896,17.06.2020,Паспортный стол ОВД по Пермскому краю в г. Березники
Ильина,Маргарита,Игоревна,85 49,601797,02.06.1995,г. Брянск,123-979,19.07.2015,Паспортный стол ОВД по Республике Северная Осетия — Алания в г. Владикавказ
Шарапова,Майя,Леоновна,92 96,936788,27.06.1969,г. Аргаяш,752-674,25.08.2014,Отдел по вопросам миграции ОМВД России по Забайкальскому краю в г. Краснокаменск
Панов,Валерьян,Ааронович,41 60,194480,07.10.1984,г. Нурлат,871-750,05.12.2004,Отделение по вопросам миграции ОМВД России по Кировской области
Сорокин,Савватий,Гурьевич,98 33,119124,03.08.1984,г. Батайск,673-072,01.10.2004,Отделение по вопросам миграции ОМВД России по Республике Крым в г. Евпатория
Муравьева,Эмилия,Геннадиевна,20 80,984890,12.11.2003,г. Приозерск,591-663,04.01.2024,Районный отдел УФМС России по Рязанской области
Лукин,Софон,Анатольевич,34 48,667535,04.04.1970,г. Зеленогорск (Ленин.),152-415,28.04.2015,Отделение УФМС России по Омской области
Мясников,Савва,Андреевич,94 75,282257,14.11.1966,г. Кизилюрт,801-884,04.01.2012,Территориальный отдел МВД России по Республике Ингушетия
Егорова,Таисия,Артемовна,03 34,088834,17.09.1965,г. Нефтекамск,593-421,16.11.2010,Паспортно-визовая служба ОВД по Иркутской области
Орлов,Нестор,Афанасьевич,97 80,852441,01.03.1995,г. Троицк (Челяб.),671-399,29.03.2015,Отдел УФМС России по Тульской области в г. Алексин
Филатов,Вячеслав,Бенедиктович,67 85,014938,09.12.1969,г. Ростов-на-Дону,321-169,04.02.2015,Управление МВД России по Пензенской области в г. Пенза
Кулагина,Полина,Львовна,79 59,180627,18.09.1999,г. Асбест,363-077,29.09.2019,Межрайонный отдел УФМС России по Ивановской области в г. Кинешма
Крюкова,Антонина,Романовна,67 68,792598,10.01.1965,г. Каргополь,322-075,25.01.2010,Главное управление МВД России по Архангельской области
